,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
94,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,19,5534,1.9174536226487997,False,1.705,1
95,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,20,6245,-0.3181912456270056,False,1.705,1
96,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,21,7037,1.0085555693905894,False,1.705,1
97,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,22,7920,-3.5296618765090377,False,1.705,1
98,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,23,8904,-2.0732383173096145,False,1.705,1
99,1,1,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial8_1.wav,1,24,10000,-3.274041920961173,False,1.705,1
100,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,0,100,-0.3012620732381977,False,0.508,1
101,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,1,191,6.327943227446879,False,0.508,1
102,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,2,293,-3.2297994260247225,False,0.508,1
103,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,3,406,-3.9579200963562537,False,0.508,1
104,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,4,533,2.0063293490206355,False,0.508,1
105,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,5,673,-1.6588571754962582,False,0.508,1
106,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,6,830,-9.228298312810619,False,0.508,1
107,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,7,1004,5.614091572930444,False,0.508,1
108,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,8,1199,2.7068217006161137,False,0.508,1
109,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,9,1416,4.7040492310298045,False,0.508,1
110,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,10,1657,9.108705509625652,False,0.508,1
111,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,11,1926,-6.0056591344103,False,0.508,1
112,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,12,2226,3.4945787411231675,False,0.508,1
113,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,13,2560,1.3585924209198144,False,0.508,1
114,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,14,2932,0.5465955995246178,False,0.508,1
115,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,15,3346,-2.0861127754501414,False,0.508,1
116,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,16,3808,-3.641573705300871,False,0.508,1
117,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,17,4322,-0.8252983482289888,False,0.508,1
118,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,18,4895,-4.6661537415089605,False,0.508,1
119,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,19,5534,2.4221291659772666,False,0.508,1
120,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,20,6245,-11.358421507428694,False,0.508,1
